anime_id;Name;Rating;Type;Genre;Studios;Producers;Licensors;Voice_Actors
5114;Fullmetal Alchemist: Brotherhood;9.22;TV;['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen'];['Bones'];['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];['Funimation', 'Aniplex of America'];['Park, Romi', 'Kugimiya, Rie']
9253;"Steins;Gate";9.12;TV;['Thriller', 'Sci-Fi'];['White Fox'];['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus'];['Funimation'];['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu']
28977;Gintama° (Gintama Season 4);9.11;TV;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu'];['Funimation', 'Crunchyroll'];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
11061;Hunter x Hunter (2011) (Hunter x Hunter);9.11;TV;['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power'];['Madhouse'];['VAP', 'Nippon Television Network', 'Shueisha'];['Viz Media'];['Ise, Mariya', 'Han, Megumi', 'Sawashiro, Miyuki', 'Fujiwara, Keiji']
820;Ginga Eiyuu Densetsu (Legend of the Galactic Heroes);9.1;OVA;['Military', 'Sci-Fi', 'Space', 'Drama'];['Artland', 'Magic Bus'];['Kitty Films', 'K-Factory'];['Sentai Filmworks'];['Tomiyama, Kei', 'Horikawa, Ryo', 'Wakamoto, Norio', 'Shiozawa, Kaneto', 'Hironaka, Masashi', 'Hazama, Michio', 'Mori, Katsuji', 'Katsuki, Masako', 'Sasaki, Nozomu', 'Inoue, Kazuhiko']
9969;Gintama' (Gintama Season 2);9.08;TV;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
38524;Shingeki no Kyojin Season 3 Part 2;9.07;TV;['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen'];['Wit Studio'];['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];['Funimation'];['Kamiya, Hiroshi', 'Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina']
15417;Gintama': Enchousen (Gintama: Enchousen);9.04;TV;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke', 'Nakamura, Yuuichi']
35180;3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season);9.01;TV;['Drama', 'Game', 'Seinen', 'Slice of Life'];['Shaft'];"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]";['Aniplex of America'];['Kawanishi, Kengo', 'Hanazawa, Kana', 'Kayano, Ai', 'Kuno, Misaki']
28851;Koe no Katachi (A Silent Voice);9.01;Movie;['Drama', 'School', 'Shounen'];['Kyoto Animation'];['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras'];['Eleven Arts', 'NYAV Post'];['Hayami, Saori', 'Irino, Miyu']
32281;Kimi no Na wa. (Your Name.);9.0;Movie;['Romance', 'Supernatural', 'School', 'Drama'];['CoMix Wave Films'];['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting'];['Funimation', 'NYAV Post'];['Kamishiraishi, Mone', 'Kamiki, Ryunosuke']
34096;Gintama. (Gintama Season 5);8.98;TV;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Ishida, Akira', 'Sakaguchi, Daisuke', 'Koyasu, Takehito']
918;Gintama;8.97;TV;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha'];['Sentai Filmworks', 'Crunchyroll'];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
15335;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;8.97;Movie;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
4181;Clannad: After Story (Clannad ~After Story~);8.96;TV;['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance'];['Kyoto Animation'];['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do'];['Sentai Filmworks'];['Nakamura, Yuuichi', 'Nakahara, Mai', 'Koorogi, Satomi']
35247;Owarimonogatari 2nd Season (Owarimonogatari Second Season);8.93;TV;['Mystery', 'Comedy', 'Supernatural', 'Vampire'];['Shaft'];['Aniplex', 'Kodansha'];['Aniplex of America'];['Saito, Chiwa', 'Kamiya, Hiroshi', 'Katou, Emiri', 'Mizuhashi, Kaori']
2904;Code Geass: Hangyaku no Lelouch R2;8.91;TV;['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha'];['Sunrise'];['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];['Funimation', 'Bandai Entertainment'];['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro']
32935;Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;8.9;TV;['Comedy', 'Sports', 'Drama', 'School', 'Shounen'];['Production I.G'];['TOHO animation', 'Shueisha'];['Sentai Filmworks'];['Murase, Ayumu', 'Ishikawa, Kaito']
37510;Mob Psycho 100 II;8.86;TV;['Action', 'Slice of Life', 'Comedy', 'Supernatural'];['Bones'];['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan'];['Funimation'];['Sakurai, Takahiro', 'Itou, Setsuo', 'Ootsuka, Akio', 'Matsuoka, Yoshitsugu', 'Irino, Miyu']
37491;Gintama.: Shirogane no Tamashii-hen - Kouhan-sen;8.85;TV;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
199;Sen to Chihiro no Kamikakushi (Spirited Away);8.84;Movie;['Adventure', 'Supernatural', 'Drama'];['Studio Ghibli'];['Toho'];['Walt Disney Studios', 'GKIDS'];['Irino, Miyu', 'Hiiragi, Rumi']
31758;Kizumonogatari III: Reiketsu-hen;8.82;Movie;['Action', 'Mystery', 'Supernatural', 'Vampire'];['Shaft'];['Aniplex', 'Kodansha'];[None];['Sakamoto, Maaya', 'Kamiya, Hiroshi', 'Horie, Yui']
36838;Gintama.: Shirogane no Tamashii-hen (Gintama.: Silver Soul Arc);8.8;TV;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
1;Cowboy Bebop;8.79;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space'];['Sunrise'];['Bandai Visual'];['Funimation', 'Bandai Entertainment'];['Yamadera, Kouichi', 'Hayashibara, Megumi', 'Tada, Aoi', 'Ishizuka, Unshou']
