;Name;Rating;Type;Aired;Episodes;Genre;Studios;Producers;Licensors;Voice_Actors
0;Fullmetal Alchemist: Brotherhood;9.22;TV;Apr 5, 2009 to Jul 4, 2010;64;['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen'];['Bones'];['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];['Funimation', 'Aniplex of America'];['Park, Romi', 'Kugimiya, Rie']
1;"Steins;Gate";9.12;TV;Apr 6, 2011 to Sep 14, 2011;24;['Thriller', 'Sci-Fi'];['White Fox'];['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus'];['Funimation'];['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu']
2;Gintama° (Gintama Season 4);9.11;TV;Apr 8, 2015 to Mar 30, 2016;51;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu'];['Funimation', 'Crunchyroll'];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
3;Hunter x Hunter (2011) (Hunter x Hunter);9.11;TV;Oct 2, 2011 to Sep 24, 2014;148;['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power'];['Madhouse'];['VAP', 'Nippon Television Network', 'Shueisha'];['Viz Media'];['Ise, Mariya', 'Han, Megumi', 'Sawashiro, Miyuki', 'Fujiwara, Keiji']
4;Ginga Eiyuu Densetsu (Legend of the Galactic Heroes);9.10;OVA;Jan 8, 1988 to Mar 17, 1997;110;['Military', 'Sci-Fi', 'Space', 'Drama'];['Artland', 'Magic Bus'];['Kitty Films', 'K-Factory'];['Sentai Filmworks'];['Tomiyama, Kei', 'Horikawa, Ryo', 'Wakamoto, Norio', 'Shiozawa, Kaneto', 'Hironaka, Masashi', 'Hazama, Michio', 'Mori, Katsuji', 'Katsuki, Masako', 'Sasaki, Nozomu', 'Inoue, Kazuhiko']
5;Gintama' (Gintama Season 2);9.08;TV;Apr 4, 2011 to Mar 26, 2012;51;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
6;Shingeki no Kyojin Season 3 Part 2;9.07;TV;Apr 29, 2019 to Jul 1, 2019;10;['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen'];['Wit Studio'];['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];['Funimation'];['Kamiya, Hiroshi', 'Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina']
7;Gintama': Enchousen (Gintama: Enchousen);9.04;TV;Oct 4, 2012 to Mar 28, 2013;13;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
8;3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season);9.02;TV;Oct 14, 2017 to Mar 31, 2018;22;['Drama', 'Game', 'Seinen', 'Slice of Life'];['Shaft'];"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]";['Aniplex of America'];['Kawanishi, Kengo', 'Hanazawa, Kana', 'Kayano, Ai', 'Kuno, Misaki']
9;Koe no Katachi (A Silent Voice);9.01;Movie;Sep 17, 2016;1;['Drama', 'School', 'Shounen'];['Kyoto Animation'];['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras'];['Eleven Arts', 'NYAV Post'];['Hayami, Saori', 'Irino, Miyu']
10;Kimi no Na wa. (Your Name.);9.00;Movie;Aug 26, 2016;1;['Romance', 'Supernatural', 'School', 'Drama'];['CoMix Wave Films'];['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting'];['Funimation', 'NYAV Post'];['Kamishiraishi, Mone', 'Kamiki, Ryunosuke']
11;Gintama. (Gintama Season 5);8.98;TV;Jan 9, 2017 to Mar 27, 2017;12;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Ishida, Akira', 'Sakaguchi, Daisuke', 'Koyasu, Takehito']
12;Gintama;8.97;TV;Apr 4, 2006 to Mar 25, 2010;201;['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha'];['Sentai Filmworks', 'Crunchyroll'];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
13;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;8.97;Movie;Jul 6, 2013;1;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Sunrise'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
14;Clannad: After Story (Clannad ~After Story~);8.96;TV;Oct 3, 2008 to Mar 27, 2009;24;['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance'];['Kyoto Animation'];['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do'];['Sentai Filmworks'];['Nakamura, Yuuichi', 'Nakahara, Mai', 'Koorogi, Satomi']
15;Owarimonogatari 2nd Season (Owarimonogatari Second Season);8.93;TV;Aug 12, 2017 to Aug 13, 2017;7;['Mystery', 'Comedy', 'Supernatural', 'Vampire'];['Shaft'];['Aniplex', 'Kodansha'];['Aniplex of America'];['Saito, Chiwa', 'Kamiya, Hiroshi', 'Katou, Emiri', 'Mizuhashi, Kaori']
16;Code Geass: Hangyaku no Lelouch R2;8.91;TV;Apr 6, 2008 to Sep 28, 2008;25;['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha'];['Sunrise'];['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];['Funimation', 'Bandai Entertainment'];['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro']
17;Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;8.90;TV;Oct 8, 2016 to Dec 10, 2016;10;['Comedy', 'Sports', 'Drama', 'School', 'Shounen'];['Production I.G'];['TOHO animation', 'Shueisha'];['Sentai Filmworks'];['Murase, Ayumu', 'Ishikawa, Kaito']
18;Mob Psycho 100 II;8.86;TV;Jan 7, 2019 to Apr 1, 2019;13;['Action', 'Slice of Life', 'Comedy', 'Supernatural'];['Bones'];['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan'];['Funimation'];['Sakurai, Takahiro', 'Itou, Setsuo', 'Ootsuka, Akio', 'Matsuoka, Yoshitsugu', 'Irino, Miyu']
19;Gintama.: Shirogane no Tamashii-hen - Kouhan-sen;8.85;TV;Jul 9, 2018 to Oct 8, 2018;14;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
20;Sen to Chihiro no Kamikakushi (Spirited Away);8.84;Movie;Jul 20, 2001;1;['Adventure', 'Supernatural', 'Drama'];['Studio Ghibli'];['Toho'];['Walt Disney Studios', 'GKIDS'];['Irino, Miyu', 'Hiiragi, Rumi']
21;Kizumonogatari III: Reiketsu-hen;8.82;Movie;Jan 6, 2017;1;['Action', 'Mystery', 'Supernatural', 'Vampire'];['Shaft'];['Aniplex', 'Kodansha'];[None];['Sakamoto, Maaya', 'Kamiya, Hiroshi', 'Horie, Yui']
22;Gintama.: Shirogane no Tamashii-hen (Gintama.: Silver Soul Arc);8.80;TV;Jan 8, 2018 to Mar 26, 2018;12;['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'];['Bandai Namco Pictures'];['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha'];[None];['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke']
23;Cowboy Bebop;8.79;TV;Apr 3, 1998 to Apr 24, 1999;26;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space'];['Sunrise'];['Bandai Visual'];['Funimation', 'Bandai Entertainment'];['Yamadera, Kouichi', 'Hayashibara, Megumi', 'Tada, Aoi', 'Ishizuka, Unshou']
24;Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;8.79;TV;Apr 11, 2020 to Jun 27, 2020;12;['Comedy', 'Psychological', 'Romance', 'School', 'Seinen'];['A-1 Pictures'];['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications'];['Aniplex of America'];['Suzuki, Ryouta', 'Kohara, Konomi', 'Koga, Aoi', 'Tomita, Miyu', 'Furukawa, Makoto']
25;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;8.79;TV;Jan 7, 2017 to Mar 25, 2017;12;['Drama', 'Historical', 'Josei'];['Studio Deen'];['Mainichi Broadcasting System', 'Kodansha', 'DAX Production', 'King Records'];[None];['Ishida, Akira', 'Seki, Tomokazu']
26;Made in Abyss Movie 3: Fukaki Tamashii no Reimei;8.78;Movie;Jan 17, 2020;1;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];['Kinema Citrus'];[None];['Sentai Filmworks'];['Izawa, Shiori', None, None]
27;Monogatari Series: Second Season;8.78;TV;Jul 7, 2013 to Dec 29, 2013;26;['Mystery', 'Comedy', 'Supernatural', 'Romance', 'Vampire'];['Shaft'];['Aniplex', 'Kodansha', 'Cyclone Graphics'];['Aniplex of America'];['Saito, Chiwa', 'Sakamoto, Maaya', 'Kamiya, Hiroshi', 'Miki, Shinichiro', 'Horie, Yui', 'Katou, Emiri', 'Hanazawa, Kana']
28;Haikyuu!! Second Season (Haikyu!! 2nd Season);8.77;TV;Oct 4, 2015 to Mar 27, 2016;25;['Comedy', 'Sports', 'Drama', 'School', 'Shounen'];['Production I.G'];['TOHO animation', 'Shueisha'];['Sentai Filmworks'];['Murase, Ayumu', 'Ishikawa, Kaito']
29;Mushishi Zoku Shou 2nd Season;8.77;TV;Oct 19, 2014 to Dec 21, 2014;10;['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural'];['Artland'];['Aniplex', 'Kodansha', 'Delfi Sound'];['Aniplex of America'];['Nakano, Yuto']
30;Shigatsu wa Kimi no Uso (Your Lie in April);8.77;TV;Oct 10, 2014 to Mar 20, 2015;22;['Drama', 'Music', 'Romance', 'School', 'Shounen'];['A-1 Pictures'];['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Kyoraku Industrial Holdings'];['Aniplex of America'];['Taneda, Risa', 'Hanae, Natsuki', 'Sakura, Ayane', 'Osaka, Ryota']
31;Fate/stay night Movie: Heaven's Feel - III. Spring Song;8.76;Movie;Aug 15, 2020;1;['Action', 'Supernatural', 'Magic', 'Fantasy'];['ufotable'];['Aniplex', 'Notes', 'Kadokawa'];['Aniplex of America'];[None, None, None, None, None]
32;Made in Abyss;8.76;TV;Jul 7, 2017 to Sep 29, 2017;13;['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy'];['Kinema Citrus'];['Media Factory', 'AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Global Solutions'];['Sentai Filmworks'];['Ise, Mariya', 'Tomita, Miyu']
33;Hajime no Ippo (Fighting Spirit);8.75;TV;Oct 4, 2000 to Mar 27, 2002;75;['Comedy', 'Sports', 'Drama', 'Shounen'];['Madhouse'];['VAP'];['Discotek Media', 'Geneon Entertainment USA'];['Kiyasu, Kohei', 'Koyama, Rikiya', 'Takagi, Wataru', 'Utsumi, Kenji', 'Fujiwara, Keiji']
34;Monster;8.74;TV;Apr 7, 2004 to Sep 28, 2005;74;['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller'];['Madhouse'];['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network'];['Viz Media'];['Sasaki, Nozomu', 'Kiuchi, Hidenobu', 'Noto, Mamiko']
35;Mononoke Hime (Princess Mononoke);8.73;Movie;Jul 12, 1997;1;['Action', 'Adventure', 'Fantasy'];['Studio Ghibli'];['Tokuma Shoten', 'Nippon Television Network'];['GKIDS'];['Ishida, Yuriko', 'Matsuda, Youji']
36;Mushishi Zoku Shou (MUSHI-SHI -Next Passage-);8.73;TV;Apr 5, 2014 to Jun 21, 2014;10;['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen'];['Artland'];['Aniplex', 'Kodansha', 'Delfi Sound'];['Aniplex of America'];['Nakano, Yuto']
37;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;8.73;OVA;Feb 20, 1999 to Sep 22, 1999;4;['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen'];['Studio Deen'];['Aniplex'];['ADV Films', 'Aniplex of America'];['Suzukaze, Mayo', 'Iwao, Junko']
38;Tian Guan Ci Fu;8.73;ONA;Oct 31, 2020 to Jan 2, 2021;11;['Action', 'Adventure', 'Historical', 'Supernatural', 'Drama'];['Haoliners Animation League'];['bilibili'];[None];[None, None]
39;Vinland Saga;8.72;TV;Jul 8, 2019 to Dec 30, 2019;24;['Action', 'Adventure', 'Drama', 'Historical', 'Seinen'];['Wit Studio'];['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine'];[None];['Uchida, Naoya', 'Uemura, Yuuto', 'Ono, Kensho']
40;Code Geass: Hangyaku no Lelouch;8.72;TV;Oct 6, 2006 to Jul 29, 2007;25;['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School'];['Sunrise'];['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];['Funimation', 'Bandai Entertainment'];['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro']
41;Great Teacher Onizuka;8.70;TV;Jun 30, 1999 to Sep 17, 2000;43;['Slice of Life', 'Comedy', 'Drama', 'School', 'Shounen'];['Studio Pierrot'];['Aniplex', 'Fuji TV'];['Discotek Media', 'Tokyopop'];['Takagi, Wataru', 'Mitsuishi, Kotono', 'Midorikawa, Hikaru', 'Cho', 'Kawasumi, Ayako', 'Orikasa, Fumiko', 'Okano, Kousuke', 'Seki, Tomokazu', 'Noda, Junko']
